Gene	Num
WDR7	18
BIVM-ERCC5	18
SV2A	18
DOCK9	18
DNAI2	18
ZNF385D	18
NOX3	18
TRPC7	18
HIVEP1	18
ARFGEF3	18
OR4K17	18
SLC24A2	18
OLFM3	18
SIGLEC12	18
TXLNB	18
ZNF492	18
KCNK10	18
CYP26B1	18
LAMC1	18
AKAP13	18
SHANK2	18
CDX4	18
MAGEB18	18
OR8H1	18
TRIML2	17
CUL9	17
OR8K1	17
DRD2	17
DAB2	17
GPR148	17
CNTLN	17
C2orf16	17
MCF2	17
KRTAP24-1	17
NPR3	17
TRIM9	17
RREB1	17
GBP5	17
MGAT4C	17
PCARE	17
TANC1	17
KIAA0100	17
KRTAP11-1	17
TTC21B	17
GPR50	17
ADAM12	17
FYB1	17
RBM19	17
IRX1	17
DIP2C	17
SLCO1B1	17
STON2	17
GRM3	17
IRS1	17
MYBPC1	17
HNF4A	17
USP6	17
GAB4	17
ADAMTS6	17
POU3F4	17
ENPEP	17
PCDHB1	17
DIAPH3	17
ABCC4	17
POLA1	17
PSG4	17
MYH9	17
LRRK1	17
RB1CC1	17
MBD5	17
GPC5	17
KANSL1	17
PRKCG	17
FASN	17
HDX	17
SRGAP1	17
CEP164	17
CNTN2	17
BRDT	17
NPFFR2	17
PATJ	17
OR10K1	17
GRM6	17
ABI3BP	17
BMT2	17
TGM6	17
GPR85	17
NFE2L2	17
MYO9A	17
FN1	17
TFAP2B	17
KIF13A	17
SGO2	17
ZNF638	17
KCNH6	17
ARHGAP6	17
ZFC3H1	17
PTPRK	17
HTR5A	17
BTK	17
NAALAD2	17
TMPRSS11A	17
ADGRB1	17
CFAP91	17
EPB41L2	17
OR11L1	17
AUTS2	17
ATP13A5	17
NLRC5	17
ZNF658	17
SOX6	17
CHGB	17
PTPRR	17
ZPLD1	17
OPHN1	17
SH3BP4	17
ROCK1	17
HOXA3	17
GPR149	17
HK3	17
PKP4	17
CD109	17
NCOA2	17
PLA2G4A	17
GPR179	17
CMKLR1	17
IQGAP3	17
GALNTL6	17
PPP1R16B	17
MAP3K4	17
SLCO1C1	17
ZNF462	17
MEGF8	17
KDM5C	17
RFX6	17
DCLK1	17
PCDHGA7	17
PCDH1	17
PPRC1	17
SNTG2	17
SLC9A2	17
SLC30A10	17
POTEA	17
IMPG1	17
MAGEE1	17
OR5R1	17
KDM3B	17
NOVA1	17
FCRL4	17
CCDC88A	17
MCF2L2	17
ZNF800	17
POP1	17
IL1RL1	17
CHM	17
IL9R	17
OR14I1	17
OR10R2	17
TMPRSS11E	17
PCDHA13	17
NUP98	17
TOGARAM1	17
LRBA	17
AHCTF1	17
RGS12	17
ATAD2	17
MYO7A	17
MORC1	17
CCDC80	17
ARFGEF1	17
PLD1	17
SMYD1	17
WRN	17
CNTN6	17
HELZ	17
INTS6L	17
CACNA2D3	17
ZNF107	17
ZNF677	17
ASCC3	17
PABPC5	17
PRDM2	16
ZNF592	16
NUP210L	16
INSC	16
PLEKHG4B	16
GLI1	16
MN1	16
GPR37	16
TBX3	16
DMXL2	16
PSG6	16
SOS2	16
RPS6KA6	16
NINL	16
EXOC4	16
COL6A2	16
AP002512.3	16
EIF4G3	16
KCNT1	16
PTCHD1	16
KIAA1549	16
NPAS3	16
FCRLA	16
SLC1A6	16
OR2A12	16
ASTL	16
SLC17A8	16
KCNA1	16
SLC5A12	16
OR5B3	16
URB2	16
GPRIN1	16
GFRA1	16
DRP2	16
RPL10L	16
ZNF761	16
OR1S1	16
RICTOR	16
INTU	16
ZNF518B	16
RALGAPB	16
HSD3B2	16
RXRG	16
TRPC3	16
LINGO2	16
NLRP9	16
DDX60L	16
RAB3GAP2	16
MYO15A	16
FLI1	16
HCK	16
POLR3A	16
TAAR6	16
CAMSAP2	16
CHRDL1	16
MAN2A1	16
SPAG16	16
ATP10A	16
CD93	16
ENTHD1	16
RPE65	16
OR6K6	16
CDYL	16
TENT5D	16
CLEC4F	16
KLB	16
PRRC2B	16
KCNMA1	16
SCAF8	16
MPO	16
LRP12	16
PNLIP	16
CPB1	16
OR13F1	16
OR4D11	16
ZNF407	16
MAMLD1	16
ATF7IP	16
SLC9A9	16
RFX4	16
CACNB2	16
MYO18A	16
OR4A47	16
VIRMA	16
KCNN2	16
REV3L	16
UBQLN3	16
MAGEB6	16
KCNS2	16
GON4L	16
XDH	16
NIN	16
ANKRD12	16
ARHGAP31	16
STAB1	16
LPAR4	16
TGFBR3	16
HS3ST5	16
FAM71A	16
CFHR5	16
PGM5	16
CDK12	16
ITPR1	16
NCOR1	16
MYT1	16
TIAM2	16
WNK1	16
TLR7	16
MTR	16
FOCAD	16
GPATCH8	16
CEP192	16
SH3TC2	16
RET	16
ZC3H12B	16
HEATR5B	16
SSTR4	16
ZNF248	16
SYT16	16
SMC3	16
NCOA1	16
FERD3L	16
CEP152	16
HCFC1	16
ELMO1	16
ITK	16
SLC1A3	16
TTLL7	16
POT1	16
SYT9	16
ZNF560	16
ARSF	16
FIGN	16
SLC6A18	16
BOC	16
CSF1R	16
OR5B2	16
PHEX	16
PCF11	16
ATP8B2	16
KCNK9	16
PGR	16
KCNH2	16
RC3H2	16
ARHGAP35	16
PIWIL1	16
NYNRIN	16
USP51	16
FLRT2	16
GPR141	16
PTPN14	16
OR10W1	16
CACNA1H	16
ZFP57	16
OR6T1	16
NCAPD3	16
LGR6	16
HTT	16
SMC4	16
OR10J1	16
ETNPPL	16
MTMR8	16
RNF17	16
CCDC136	16
GP2	16
LRIT2	16
OR2D3	16
